===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-09-30 00:11:12
count workspace : /home/jeremias/SGIColegio
total files : 426
total code lines : 195112
total comment lines : 12327
total blank lines : 14254

.editorconfig, code is 11, comment is 1, blank is 2.
client/src/app/componentes/materias/materias.component.css, code is 4, comment is 0, blank is 0.
client/src/app/componentes/materias/materias.component.html, code is 14, comment is 1, blank is 2.
client/src/app/componentes/materias/materias.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/materias/materias.component.ts, code is 29, comment is 0, blank is 5.
client/src/app/componentes/navegacion/footer/footer.component.css, code is 0, comment is 0, blank is 0.
client/src/app/componentes/navegacion/footer/footer.component.html, code is 9, comment is 0, blank is 0.
client/src/app/componentes/navegacion/footer/footer.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/navegacion/footer/footer.component.ts, code is 12, comment is 0, blank is 4.
client/src/app/componentes/navegacion/home/home.component.css, code is 0, comment is 0, blank is 1.
client/src/app/componentes/navegacion/home/home.component.html, code is 6, comment is 0, blank is 0.
client/src/app/componentes/navegacion/home/home.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/navegacion/home/home.component.ts, code is 12, comment is 0, blank is 4.
client/src/app/componentes/navegacion/navbar/navbar.component.css, code is 0, comment is 0, blank is 0.
client/src/app/componentes/navegacion/navbar/navbar.component.html, code is 16, comment is 0, blank is 0.
client/src/app/componentes/navegacion/navbar/navbar.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/navegacion/navbar/navbar.component.ts, code is 12, comment is 0, blank is 4.
client/src/app/componentes/navegacion/not-found/not-found.component.css, code is 0, comment is 0, blank is 0.
client/src/app/componentes/navegacion/not-found/not-found.component.html, code is 6, comment is 0, blank is 0.
client/src/app/componentes/navegacion/not-found/not-found.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/navegacion/not-found/not-found.component.ts, code is 12, comment is 0, blank is 4.
client/src/app/componentes/navegacion/side-bar/side-bar.component.css, code is 0, comment is 0, blank is 0.
client/src/app/componentes/navegacion/side-bar/side-bar.component.html, code is 42, comment is 10, blank is 6.
client/src/app/componentes/navegacion/side-bar/side-bar.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/navegacion/side-bar/side-bar.component.ts, code is 12, comment is 0, blank is 5.
client/src/app/componentes/plan-estudio/agregar-plan/agregar-plan.component.css, code is 27, comment is 0, blank is 7.
client/src/app/componentes/plan-estudio/agregar-plan/agregar-plan.component.html, code is 7, comment is 0, blank is 1.
client/src/app/componentes/plan-estudio/agregar-plan/agregar-plan.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/plan-estudio/agregar-plan/agregar-plan.component.ts, code is 17, comment is 0, blank is 6.
client/src/app/componentes/plan-estudio/dialog-materias/dialog-materias.component.css, code is 0, comment is 0, blank is 0.
client/src/app/componentes/plan-estudio/dialog-materias/dialog-materias.component.html, code is 76, comment is 11, blank is 16.
client/src/app/componentes/plan-estudio/dialog-materias/dialog-materias.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/plan-estudio/dialog-materias/dialog-materias.component.ts, code is 58, comment is 3, blank is 9.
client/src/app/componentes/plan-estudio/lista-planes/lista-planes.component.css, code is 38, comment is 0, blank is 10.
client/src/app/componentes/plan-estudio/lista-planes/lista-planes.component.html, code is 44, comment is 21, blank is 8.
client/src/app/componentes/plan-estudio/lista-planes/lista-planes.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/plan-estudio/lista-planes/lista-planes.component.ts, code is 52, comment is 5, blank is 11.
client/src/app/componentes/plan-estudio/plan-estudio.component.css, code is 39, comment is 0, blank is 13.
client/src/app/componentes/plan-estudio/plan-estudio.component.html, code is 42, comment is 5, blank is 3.
client/src/app/componentes/plan-estudio/plan-estudio.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/plan-estudio/plan-estudio.component.ts, code is 91, comment is 1, blank is 18.
client/src/app/docentes/componentes/docente-materia/asignar-materia/asignar-materia.component.css, code is 27, comment is 0, blank is 7.
client/src/app/docentes/componentes/docente-materia/asignar-materia/asignar-materia.component.html, code is 111, comment is 12, blank is 9.
client/src/app/docentes/componentes/docente-materia/asignar-materia/asignar-materia.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/docentes/componentes/docente-materia/asignar-materia/asignar-materia.component.ts, code is 128, comment is 17, blank is 22.
client/src/app/docentes/componentes/docente-materia/docente-materia.component.css, code is 39, comment is 0, blank is 13.
client/src/app/docentes/componentes/docente-materia/docente-materia.component.html, code is 41, comment is 5, blank is 11.
client/src/app/docentes/componentes/docente-materia/docente-materia.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/docentes/componentes/docente-materia/docente-materia.component.ts, code is 56, comment is 61, blank is 12.
client/src/app/docentes/docentes.module.ts, code is 20, comment is 0, blank is 1.
client/src/app/empleados/componentes/editar-empleado/editar-empleado.component.css, code is 12, comment is 0, blank is 2.
client/src/app/empleados/componentes/editar-empleado/editar-empleado.component.html, code is 66, comment is 14, blank is 14.
client/src/app/empleados/componentes/editar-empleado/editar-empleado.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/empleados/componentes/editar-empleado/editar-empleado.component.ts, code is 78, comment is 6, blank is 10.
